date,time,food_name,ingredients,vitamins,nutrients_with_grams
2025-10-17,09:15:00,Grilled Chicken Salad,"Chicken breast, Romaine lettuce, Cherry tomatoes, Cucumber, Olive oil, Feta cheese","Vitamin A, Vitamin C, Vitamin K, Folate, Vitamin B12","Protein: 35g, Fat: 20g, Carbs: 10g, Fiber: 5g, Sugar: 4g"
2025-10-17,12:30:00,Avocado Toast,"Whole wheat bread, Avocado, Red pepper flakes, Salt, Lemon juice","Vitamin E, Vitamin K, Vitamin C, Folate, Vitamin B6","Protein: 7g, Fat: 15g, Carbs: 30g, Fiber: 10g, Sugar: 2g"
2025-10-17,18:45:00,Salmon with Quinoa,"Salmon fillet, Quinoa, Broccoli, Lemon, Dill","Vitamin D, Vitamin B12, Vitamin B6, Omega-3, Selenium","Protein: 40g, Fat: 25g, Carbs: 35g, Fiber: 8g, Sugar: 3g"
2025-10-18,13:00:00,Beef Stir-Fry,"Beef strips, Bell peppers, Onion, Soy sauce, Ginger, Garlic, Rice noodles","Vitamin C, Vitamin B6, Niacin, Iron, Zinc","Protein: 28g, Fat: 18g, Carbs: 45g, Fiber: 6g, Sugar: 9g"
2025-10-18,19:00:00,Vegetable Curry,"Coconut milk, Chickpeas, Cauliflower, Spinach, Curry powder, Turmeric, Potatoes","Vitamin C, Vitamin A, Vitamin K, Iron, Fiber","Protein: 15g, Fat: 22g, Carbs: 50g, Fiber: 14g, Sugar: 7g"
2025-10-19,12:45:00,Spaghetti Bolognese,"Ground beef, Tomatoes, Onion, Garlic, Spaghetti pasta, Parmesan cheese","Vitamin B12, Niacin, Iron, Lycopene","Protein: 30g, Fat: 20g, Carbs: 55g, Fiber: 7g, Sugar: 12g"
2025-10-19,20:00:00,Mushroom Risotto,"Arborio rice, Mushrooms, Vegetable broth, Onion, White wine, Parmesan cheese","Vitamin D, Vitamin B6, Riboflavin, Selenium","Protein: 12g, Fat: 15g, Carbs: 48g, Fiber: 4g, Sugar: 3g"
2025-10-20,13:15:00,Lentil Soup,"Brown lentils, Carrots, Celery, Onion, Vegetable broth, Thyme","Folate, Iron, Fiber, Thiamin, Potassium","Protein: 18g, Fat: 5g, Carbs: 40g, Fiber: 16g, Sugar: 6g"
2025-10-20,10:00:00,Blueberry Muffin,"Flour, Sugar, Butter, Eggs, Blueberries, Milk","Vitamin C, Vitamin K, Fiber","Protein: 6g, Fat: 18g, Carbs: 45g, Fiber: 2g, Sugar: 25g"
2025-10-21,08:30:00,Greek Yogurt with Berries,"Greek yogurt, Strawberries, Blueberries, Honey, Granola","Vitamin C, Calcium, Probiotics, Vitamin B12","Protein: 20g, Fat: 10g, Carbs: 35g, Fiber: 6g, Sugar: 20g"
2025-10-21,07:45:00,Oatmeal with Almonds,"Rolled oats, Almonds, Banana, Cinnamon, Maple syrup, Water","Fiber, Manganese, Magnesium, Vitamin B1","Protein: 10g, Fat: 12g, Carbs: 60g, Fiber: 10g, Sugar: 15g"
2025-10-22,12:10:00,Chicken Caesar Wrap,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan cheese, Flour tortilla","Vitamin A, Vitamin K, Protein, Calcium","Protein: 32g, Fat: 25g, Carbs: 30g, Fiber: 3g, Sugar: 2g"
2025-10-22,19:30:00,Margherita Pizza,"Pizza dough, Tomato sauce, Fresh mozzarella, Basil, Olive oil","Lycopene, Vitamin C, Calcium, Vitamin A","Protein: 18g, Fat: 20g, Carbs: 40g, Fiber: 3g, Sugar: 5g"
2025-10-23,08:00:00,Scrambled Eggs with Spinach,"Eggs, Spinach, Feta cheese, Milk, Butter","Vitamin A, Vitamin K, Iron, Protein, Vitamin B12","Protein: 20g, Fat: 18g, Carbs: 3g, Fiber: 2g, Sugar: 1g"
2025-10-23,12:30:00,Tuna Sandwich,"Canned tuna, Mayonnaise, Celery, Onion, Whole wheat bread","Protein, Omega-3, Niacin, Vitamin B12, Selenium","Protein: 25g, Fat: 15g, Carbs: 28g, Fiber: 4g, Sugar: 3g"
